164314, Attitude, Roll,0.06086354, Accelerometer (raw), x,0.046844482
164314, Attitude, Yaw,-1.392031234, Accelerometer (raw), y,-0.172576904
164314, Attitude, Pitch,0.170745357, Accelerometer (raw), z,-0.966873169
164314, Attitude, Roll,0.061238504, Accelerometer (raw), x,0.092163086
164314, Attitude, Yaw,-1.392928556, Accelerometer (raw), y,-0.14239502
164314, Attitude, Pitch,0.172360885, Accelerometer (raw), z,-0.936981201
164315, Attitude, Roll,0.062779622, Accelerometer (raw), x,0.060043335
164315, Attitude, Yaw,-1.404129312, Accelerometer (raw), y,-0.100234985
164315, Attitude, Pitch,0.133978648, Accelerometer (raw), z,-0.944564819
164315, Attitude, Roll,-0.006413221, Accelerometer (raw), x,-0.072479248
164315, Attitude, Yaw,-1.41276731, Accelerometer (raw), y,-0.204711914
164315, Attitude, Pitch,0.129041407, Accelerometer (raw), z,-0.985046387
164315, Attitude, Roll,-0.012129434, Accelerometer (raw), x,-0.038955688
164315, Attitude, Yaw,-1.390686766, Accelerometer (raw), y,-0.160354614
164315, Attitude, Pitch,0.14240815, Accelerometer (raw), z,-1.000274658
164315, Attitude, Roll,-0.016492943, Accelerometer (raw), x,-0.007781982
164315, Attitude, Yaw,-1.381442292, Accelerometer (raw), y,-0.157745361
164315, Attitude, Pitch,0.177297877, Accelerometer (raw), z,-0.968460083
164315, Attitude, Roll,0.041949059, Accelerometer (raw), x,0.047805786
164315, Attitude, Yaw,-1.354007811, Accelerometer (raw), y,-0.1537323
164315, Attitude, Pitch,0.160276749, Accelerometer (raw), z,-0.982559204
164315, Attitude, Roll,0.053663394, Accelerometer (raw), x,0.055221558
164315, Attitude, Yaw,-1.3484139, Accelerometer (raw), y,-0.129302979
164315, Attitude, Pitch,0.157309671, Accelerometer (raw), z,-0.997665405
164315, Attitude, Roll,0.058535367, Accelerometer (raw), x,0.073822021
164315, Attitude, Yaw,-1.348397354, Accelerometer (raw), y,-0.148666382
164315, Attitude, Pitch,0.149803428, Accelerometer (raw), z,-0.983612061
164315, Attitude, Roll,0.061256847, Accelerometer (raw), x,0.065414429
164315, Attitude, Yaw,-1.346014733, Accelerometer (raw), y,-0.146682739
164315, Attitude, Pitch,0.146625493, Accelerometer (raw), z,-0.984634399
164315, Attitude, Roll,0.06728803, Accelerometer (raw), x,0.081039429
164315, Attitude, Yaw,-1.34766451, Accelerometer (raw), y,-0.13168335
164315, Attitude, Pitch,0.14284769, Accelerometer (raw), z,-0.971969604
164315, Attitude, Roll,0.06768786, Accelerometer (raw), x,0.062988281
164315, Attitude, Yaw,-1.347735226, Accelerometer (raw), y,-0.1484375
164315, Attitude, Pitch,0.145923148, Accelerometer (raw), z,-0.981567383
164316, Attitude, Roll,0.067111694, Accelerometer (raw), x,0.061523438
164316, Attitude, Yaw,-1.346580546, Accelerometer (raw), y,-0.15171814
164316, Attitude, Pitch,0.143761756, Accelerometer (raw), z,-0.981536865
164316, Attitude, Roll,0.066973994, Accelerometer (raw), x,0.054397583
164316, Attitude, Yaw,-1.343344681, Accelerometer (raw), y,-0.169204712
164316, Attitude, Pitch,0.146964321, Accelerometer (raw), z,-0.970733643
164316, Attitude, Roll,0.063440679, Accelerometer (raw), x,0.044036865
164316, Attitude, Yaw,-1.340009794, Accelerometer (raw), y,-0.150695801
164316, Attitude, Pitch,0.144042898, Accelerometer (raw), z,-0.979125977
164316, Attitude, Roll,0.057911712, Accelerometer (raw), x,0.067825317
164316, Attitude, Yaw,-1.33959029, Accelerometer (raw), y,-0.155288696
164316, Attitude, Pitch,0.143831614, Accelerometer (raw), z,-0.970291138
164316, Attitude, Roll,0.055112549, Accelerometer (raw), x,0.057662964
164316, Attitude, Yaw,-1.337736628, Accelerometer (raw), y,-0.13041687
164316, Attitude, Pitch,0.143542195, Accelerometer (raw), z,-0.980987549
164316, Attitude, Roll,0.051915859, Accelerometer (raw), x,0.077041626
164316, Attitude, Yaw,-1.336394984, Accelerometer (raw), y,-0.15574646
164316, Attitude, Pitch,0.142321062, Accelerometer (raw), z,-0.954559326
164316, Attitude, Roll,0.055446132, Accelerometer (raw), x,0.09954834
164316, Attitude, Yaw,-1.332119849, Accelerometer (raw), y,-0.198394775
164316, Attitude, Pitch,0.154777336, Accelerometer (raw), z,-0.947143555
164316, Attitude, Roll,0.051285518, Accelerometer (raw), x,0.016326904
164316, Attitude, Yaw,-1.333605671, Accelerometer (raw), y,-0.180419922
164316, Attitude, Pitch,0.157488124, Accelerometer (raw), z,-1.00402832
164316, Attitude, Roll,0.05420626, Accelerometer (raw), x,0.08996582
164316, Attitude, Yaw,-1.343623021, Accelerometer (raw), y,-0.184906006
164316, Attitude, Pitch,0.163150538, Accelerometer (raw), z,-0.979507446
164316, Attitude, Roll,0.055443961, Accelerometer (raw), x,0.115036011
164316, Attitude, Yaw,-1.348261173, Accelerometer (raw), y,-0.222824097
164316, Attitude, Pitch,0.171521854, Accelerometer (raw), z,-0.929260254
164317, Attitude, Roll,0.052263772, Accelerometer (raw), x,0.109008789
164317, Attitude, Yaw,-1.345462805, Accelerometer (raw), y,-0.266494751
164317, Attitude, Pitch,0.182159175, Accelerometer (raw), z,-0.949264526
164317, Attitude, Roll,0.059451936, Accelerometer (raw), x,0.100158691
164317, Attitude, Yaw,-1.357603374, Accelerometer (raw), y,-0.244262695
164317, Attitude, Pitch,0.179580869, Accelerometer (raw), z,-0.907913208
164317, Attitude, Roll,0.059767982, Accelerometer (raw), x,0.102859497
164317, Attitude, Yaw,-1.355796767, Accelerometer (raw), y,-0.315368652
164317, Attitude, Pitch,0.191130899, Accelerometer (raw), z,-0.918823242
164317, Attitude, Roll,0.057513984, Accelerometer (raw), x,0.007278442
164317, Attitude, Yaw,-1.355126305, Accelerometer (raw), y,-0.341751099
164317, Attitude, Pitch,0.197920798, Accelerometer (raw), z,-1.080108643
164317, Attitude, Roll,0.037978298, Accelerometer (raw), x,-0.003341675
164317, Attitude, Yaw,-1.355876182, Accelerometer (raw), y,-0.133071899
164317, Attitude, Pitch,0.224895224, Accelerometer (raw), z,-1.054153442
164317, Attitude, Roll,0.03681092, Accelerometer (raw), x,-0.020507813
164317, Attitude, Yaw,-1.399566419, Accelerometer (raw), y,-0.001434326
164317, Attitude, Pitch,0.240395872, Accelerometer (raw), z,-1.100097656
164317, Attitude, Roll,0.059881188, Accelerometer (raw), x,0.010284424
164317, Attitude, Yaw,-1.405972539, Accelerometer (raw), y,-0.104675293
164317, Attitude, Pitch,0.246696704, Accelerometer (raw), z,-0.914245605
164317, Attitude, Roll,0.074692612, Accelerometer (raw), x,0.012908936
164317, Attitude, Yaw,-1.406460203, Accelerometer (raw), y,-0.146209717
164317, Attitude, Pitch,0.229573103, Accelerometer (raw), z,-0.935882568
164317, Attitude, Roll,0.051839408, Accelerometer (raw), x,0.027099609
164317, Attitude, Yaw,-1.423433182, Accelerometer (raw), y,-0.217346191
164317, Attitude, Pitch,0.222676211, Accelerometer (raw), z,-0.993392944
164317, Attitude, Roll,0.056486717, Accelerometer (raw), x,0.034545898
164317, Attitude, Yaw,-1.432736855, Accelerometer (raw), y,-0.260742188
