164912, Attitude, Roll,0.116108208, Accelerometer (raw), x,0.100967407
164912, Attitude, Yaw,-2.679292804, Accelerometer (raw), y,-0.231460571
164912, Attitude, Pitch,0.216183068, Accelerometer (raw), z,-0.972702026
164912, Attitude, Roll,0.107216882, Accelerometer (raw), x,0.108810425
164912, Attitude, Yaw,-2.680562229, Accelerometer (raw), y,-0.215682983
164912, Attitude, Pitch,0.218946793, Accelerometer (raw), z,-0.966461182
164912, Attitude, Roll,0.102462776, Accelerometer (raw), x,0.121963501
164912, Attitude, Yaw,-2.683578372, Accelerometer (raw), y,-0.222198486
164912, Attitude, Pitch,0.213900922, Accelerometer (raw), z,-0.948181152
164912, Attitude, Roll,0.100535488, Accelerometer (raw), x,0.110794067
164912, Attitude, Yaw,-2.682337216, Accelerometer (raw), y,-0.20451355
164912, Attitude, Pitch,0.208410325, Accelerometer (raw), z,-0.999450684
164912, Attitude, Roll,0.098758052, Accelerometer (raw), x,0.087295532
164912, Attitude, Yaw,-2.678956948, Accelerometer (raw), y,-0.211776733
164912, Attitude, Pitch,0.209759478, Accelerometer (raw), z,-0.966720581
164913, Attitude, Roll,0.094989718, Accelerometer (raw), x,0.09602356
164913, Attitude, Yaw,-2.680190685, Accelerometer (raw), y,-0.216705322
164913, Attitude, Pitch,0.209609077, Accelerometer (raw), z,-0.948608398
164913, Attitude, Roll,0.092366084, Accelerometer (raw), x,0.098754883
164913, Attitude, Yaw,-2.682023536, Accelerometer (raw), y,-0.202209473
164913, Attitude, Pitch,0.205558109, Accelerometer (raw), z,-0.980041504
164913, Attitude, Roll,0.095129257, Accelerometer (raw), x,0.097396851
164913, Attitude, Yaw,-2.681861907, Accelerometer (raw), y,-0.194824219
164913, Attitude, Pitch,0.205090632, Accelerometer (raw), z,-0.974914551
164913, Attitude, Roll,0.097038063, Accelerometer (raw), x,0.092941284
164913, Attitude, Yaw,-2.680241843, Accelerometer (raw), y,-0.207717896
164913, Attitude, Pitch,0.208204359, Accelerometer (raw), z,-0.954620361
164913, Attitude, Roll,0.094340636, Accelerometer (raw), x,0.075622559
164913, Attitude, Yaw,-2.678630382, Accelerometer (raw), y,-0.201156616
164913, Attitude, Pitch,0.210956294, Accelerometer (raw), z,-0.968841553
164913, Attitude, Roll,0.093085958, Accelerometer (raw), x,0.094696045
164913, Attitude, Yaw,-2.678929344, Accelerometer (raw), y,-0.213562012
164913, Attitude, Pitch,0.21034876, Accelerometer (raw), z,-0.949279785
164913, Attitude, Roll,0.09230151, Accelerometer (raw), x,0.097015381
164913, Attitude, Yaw,-2.679388321, Accelerometer (raw), y,-0.218948364
164913, Attitude, Pitch,0.213039152, Accelerometer (raw), z,-0.96711731
164913, Attitude, Roll,0.09348496, Accelerometer (raw), x,0.095672607
164913, Attitude, Yaw,-2.679784892, Accelerometer (raw), y,-0.213134766
164913, Attitude, Pitch,0.215839514, Accelerometer (raw), z,-0.962738037
164913, Attitude, Roll,0.092199635, Accelerometer (raw), x,0.091049194
164913, Attitude, Yaw,-2.680316161, Accelerometer (raw), y,-0.213989258
164913, Attitude, Pitch,0.219191614, Accelerometer (raw), z,-0.956207275
164913, Attitude, Roll,0.089642095, Accelerometer (raw), x,0.092697144
164913, Attitude, Yaw,-2.68216093, Accelerometer (raw), y,-0.210723877
164913, Attitude, Pitch,0.221801206, Accelerometer (raw), z,-0.970932007
164914, Attitude, Roll,0.085267333, Accelerometer (raw), x,0.08454895
164914, Attitude, Yaw,-2.680136838, Accelerometer (raw), y,-0.224502563
164914, Attitude, Pitch,0.229579428, Accelerometer (raw), z,-0.963623047
164914, Attitude, Roll,0.076256786, Accelerometer (raw), x,0.068557739
164914, Attitude, Yaw,-2.674744825, Accelerometer (raw), y,-0.230789185
164914, Attitude, Pitch,0.23874643, Accelerometer (raw), z,-0.961013794
164914, Attitude, Roll,0.071609473, Accelerometer (raw), x,0.073883057
164914, Attitude, Yaw,-2.67139313, Accelerometer (raw), y,-0.238204956
