163537, Attitude, Roll,0.078317363, Accelerometer (raw), x,0.076583862
163537, Attitude, Yaw,0.029134012, Accelerometer (raw), y,-0.165206909
163537, Attitude, Pitch,0.155597102, Accelerometer (raw), z,-0.994018555
163537, Attitude, Roll,0.075555929, Accelerometer (raw), x,0.081665039
163537, Attitude, Yaw,0.023620662, Accelerometer (raw), y,-0.156600952
163537, Attitude, Pitch,0.150334222, Accelerometer (raw), z,-0.980270386
163537, Attitude, Roll,0.079034564, Accelerometer (raw), x,0.080947876
163537, Attitude, Yaw,0.019480064, Accelerometer (raw), y,-0.14805603
163537, Attitude, Pitch,0.146432803, Accelerometer (raw), z,-0.969863892
163537, Attitude, Roll,0.080956101, Accelerometer (raw), x,0.069839478
163537, Attitude, Yaw,0.017450758, Accelerometer (raw), y,-0.124053955
163537, Attitude, Pitch,0.1396641, Accelerometer (raw), z,-0.988220215
163537, Attitude, Roll,0.083414782, Accelerometer (raw), x,0.086883545
163537, Attitude, Yaw,0.015779217, Accelerometer (raw), y,-0.148590088
163537, Attitude, Pitch,0.140334942, Accelerometer (raw), z,-0.97052002
163537, Attitude, Roll,0.08378862, Accelerometer (raw), x,0.083892822
163537, Attitude, Yaw,0.013984078, Accelerometer (raw), y,-0.141204834
163537, Attitude, Pitch,0.142716323, Accelerometer (raw), z,-0.974304199
163537, Attitude, Roll,0.082064511, Accelerometer (raw), x,0.073883057
163537, Attitude, Yaw,0.014295046, Accelerometer (raw), y,-0.13571167
163537, Attitude, Pitch,0.142648515, Accelerometer (raw), z,-0.95954895
163538, Attitude, Roll,0.082033927, Accelerometer (raw), x,0.081802368
163538, Attitude, Yaw,0.015094294, Accelerometer (raw), y,-0.136672974
163538, Attitude, Pitch,0.142323761, Accelerometer (raw), z,-0.990280151
163538, Attitude, Roll,0.082205921, Accelerometer (raw), x,0.080093384
163538, Attitude, Yaw,0.016588374, Accelerometer (raw), y,-0.157241821
163538, Attitude, Pitch,0.146973516, Accelerometer (raw), z,-0.957366943
163538, Attitude, Roll,0.082199271, Accelerometer (raw), x,0.074996948
163538, Attitude, Yaw,0.016158185, Accelerometer (raw), y,-0.141799927
163538, Attitude, Pitch,0.146347016, Accelerometer (raw), z,-0.976364136
163538, Attitude, Roll,0.082507415, Accelerometer (raw), x,0.086624146
163538, Attitude, Yaw,0.015079494, Accelerometer (raw), y,-0.14666748
163538, Attitude, Pitch,0.147501033, Accelerometer (raw), z,-0.975906372
163538, Attitude, Roll,0.081286862, Accelerometer (raw), x,0.083190918
163538, Attitude, Yaw,0.013976471, Accelerometer (raw), y,-0.149047852
163538, Attitude, Pitch,0.148922762, Accelerometer (raw), z,-0.977508545
163538, Attitude, Roll,0.07891819, Accelerometer (raw), x,0.08215332
163538, Attitude, Yaw,0.013422454, Accelerometer (raw), y,-0.147247314
163538, Attitude, Pitch,0.149399373, Accelerometer (raw), z,-0.962493896
163538, Attitude, Roll,0.077871543, Accelerometer (raw), x,0.080352783
163538, Attitude, Yaw,0.014534945, Accelerometer (raw), y,-0.145523071
163538, Attitude, Pitch,0.147015428, Accelerometer (raw), z,-0.979095459
163538, Attitude, Roll,0.077457219, Accelerometer (raw), x,0.083267212
163538, Attitude, Yaw,0.017082763, Accelerometer (raw), y,-0.147491455
163538, Attitude, Pitch,0.145343036, Accelerometer (raw), z,-0.960601807
163538, Attitude, Roll,0.075026704, Accelerometer (raw), x,0.073272705
163538, Attitude, Yaw,0.020909777, Accelerometer (raw), y,-0.149429321
163538, Attitude, Pitch,0.142043404, Accelerometer (raw), z,-0.973648071
163538, Attitude, Roll,0.07269872, Accelerometer (raw), x,0.072540283
163538, Attitude, Yaw,0.022425119, Accelerometer (raw), y,-0.151809692
163538, Attitude, Pitch,0.139042353, Accelerometer (raw), z,-0.993057251
163539, Attitude, Roll,0.071478133, Accelerometer (raw), x,0.071548462
163539, Attitude, Yaw,0.021182083, Accelerometer (raw), y,-0.143936157
163539, Attitude, Pitch,0.138520188, Accelerometer (raw), z,-0.990982056
163539, Attitude, Roll,0.072330027, Accelerometer (raw), x,0.07774353
163539, Attitude, Yaw,0.020205033, Accelerometer (raw), y,-0.146652222
163539, Attitude, Pitch,0.139489494, Accelerometer (raw), z,-0.963272095
163539, Attitude, Roll,0.072332871, Accelerometer (raw), x,0.066421509
163539, Attitude, Yaw,0.020917538, Accelerometer (raw), y,-0.141921997
163539, Attitude, Pitch,0.14058827, Accelerometer (raw), z,-0.979873657
163539, Attitude, Roll,0.06952403, Accelerometer (raw), x,0.061447144
163539, Attitude, Yaw,0.022040828, Accelerometer (raw), y,-0.137741089
163539, Attitude, Pitch,0.139956137, Accelerometer (raw), z,-0.963882446
163539, Attitude, Roll,0.067141113, Accelerometer (raw), x,0.073928833
163539, Attitude, Yaw,0.024249294, Accelerometer (raw), y,-0.120361328
163539, Attitude, Pitch,0.136771268, Accelerometer (raw), z,-0.97706604
163539, Attitude, Roll,0.063964089, Accelerometer (raw), x,0.071228027
163539, Attitude, Yaw,0.027783282, Accelerometer (raw), y,-0.117202759
163539, Attitude, Pitch,0.134960066, Accelerometer (raw), z,-0.968688965
163539, Attitude, Roll,0.060780477, Accelerometer (raw), x,0.057296753
163539, Attitude, Yaw,0.030432137, Accelerometer (raw), y,-0.114868164
163539, Attitude, Pitch,0.13117788, Accelerometer (raw), z,-0.981903076
163539, Attitude, Roll,0.061658481, Accelerometer (raw), x,0.061294556
163539, Attitude, Yaw,0.029145669, Accelerometer (raw), y,-0.138336182
163539, Attitude, Pitch,0.129387601, Accelerometer (raw), z,-0.968811035
163539, Attitude, Roll,0.065262118, Accelerometer (raw), x,0.061569214
163539, Attitude, Yaw,0.028403631, Accelerometer (raw), y,-0.13369751
163539, Attitude, Pitch,0.128853518, Accelerometer (raw), z,-0.98626709
163539, Attitude, Roll,0.067291749, Accelerometer (raw), x,0.058532715
163539, Attitude, Yaw,0.028116415, Accelerometer (raw), y,-0.141723633
163539, Attitude, Pitch,0.128132678, Accelerometer (raw), z,-0.985748291
163540, Attitude, Roll,0.065187075, Accelerometer (raw), x,0.048919678
163540, Attitude, Yaw,0.025544895, Accelerometer (raw), y,-0.156936646
163540, Attitude, Pitch,0.129397126, Accelerometer (raw), z,-0.976715088
163540, Attitude, Roll,0.056855879, Accelerometer (raw), x,0.050521851
163540, Attitude, Yaw,0.024899003, Accelerometer (raw), y,-0.107559204
163540, Attitude, Pitch,0.127473827, Accelerometer (raw), z,-1.032943726
163540, Attitude, Roll,0.05170821, Accelerometer (raw), x,0.076919556
163540, Attitude, Yaw,0.034291966, Accelerometer (raw), y,-0.124328613
163540, Attitude, Pitch,0.132100946, Accelerometer (raw), z,-0.98236084
163540, Attitude, Roll,0.041244487, Accelerometer (raw), x,0.059783936
163540, Attitude, Yaw,0.039034769, Accelerometer (raw), y,-0.117462158
163540, Attitude, Pitch,0.130775399, Accelerometer (raw), z,-0.973266602
163540, Attitude, Roll,0.017484451, Accelerometer (raw), x,0.056350708
163540, Attitude, Yaw,0.031506923, Accelerometer (raw), y,-0.194396973
163540, Attitude, Pitch,0.115207519, Accelerometer (raw), z,-0.954330444
163540, Attitude, Roll,-0.011190343, Accelerometer (raw), x,0.036560059
163540, Attitude, Yaw,0.018996189, Accelerometer (raw), y,-0.156906128
163540, Attitude, Pitch,0.091406986, Accelerometer (raw), z,-1.003143311
163540, Attitude, Roll,-0.033128196, Accelerometer (raw), x,-0.003265381
163540, Attitude, Yaw,0.013718953, Accelerometer (raw), y,-0.120025635
163540, Attitude, Pitch,0.064628328, Accelerometer (raw), z,-0.995727539
163540, Attitude, Roll,-0.053330838, Accelerometer (raw), x,-0.091186523
163540, Attitude, Yaw,0.015652606, Accelerometer (raw), y,-0.117141724
163540, Attitude, Pitch,0.058764453, Accelerometer (raw), z,-1.054916382
163540, Attitude, Roll,-0.036282614, Accelerometer (raw), x,-0.014053345
163540, Attitude, Yaw,0.012997014, Accelerometer (raw), y,-0.063674927
