170943, Attitude, Roll,0.080399229, Accelerometer (raw), x,0.069717407
170943, Attitude, Yaw,2.566819347, Accelerometer (raw), y,-0.311462402
170943, Attitude, Pitch,0.310960697, Accelerometer (raw), z,-0.932754517
170943, Attitude, Roll,0.077094443, Accelerometer (raw), x,0.072540283
170943, Attitude, Yaw,2.568921687, Accelerometer (raw), y,-0.31300354
170943, Attitude, Pitch,0.310354747, Accelerometer (raw), z,-0.928619385
170943, Attitude, Roll,0.076915753, Accelerometer (raw), x,0.08291626
170943, Attitude, Yaw,2.567865086, Accelerometer (raw), y,-0.288986206
170943, Attitude, Pitch,0.307647608, Accelerometer (raw), z,-0.956924438
170943, Attitude, Roll,0.078769457, Accelerometer (raw), x,0.071533203
170943, Attitude, Yaw,2.570356088, Accelerometer (raw), y,-0.294464111
170943, Attitude, Pitch,0.306397287, Accelerometer (raw), z,-0.945922852
170943, Attitude, Roll,0.076277275, Accelerometer (raw), x,0.05645752
170943, Attitude, Yaw,2.576311165, Accelerometer (raw), y,-0.302490234
170943, Attitude, Pitch,0.311439951, Accelerometer (raw), z,-0.936767578
170943, Attitude, Roll,0.07071818, Accelerometer (raw), x,0.058258057
170943, Attitude, Yaw,2.579614446, Accelerometer (raw), y,-0.31036377
170943, Attitude, Pitch,0.315460762, Accelerometer (raw), z,-0.938583374
170943, Attitude, Roll,0.069028917, Accelerometer (raw), x,0.058532715
170943, Attitude, Yaw,2.57861398, Accelerometer (raw), y,-0.29901123
170943, Attitude, Pitch,0.314869734, Accelerometer (raw), z,-0.927185059
170943, Attitude, Roll,0.067573892, Accelerometer (raw), x,0.059829712
170943, Attitude, Yaw,2.578602078, Accelerometer (raw), y,-0.307403564
170943, Attitude, Pitch,0.31803409, Accelerometer (raw), z,-0.93296814
170944, Attitude, Roll,0.06727719, Accelerometer (raw), x,0.058914185
170944, Attitude, Yaw,2.577775018, Accelerometer (raw), y,-0.300720215
170944, Attitude, Pitch,0.318400993, Accelerometer (raw), z,-0.935043335
170944, Attitude, Roll,0.064927753, Accelerometer (raw), x,0.062973022
170944, Attitude, Yaw,2.576655178, Accelerometer (raw), y,-0.312713623
170944, Attitude, Pitch,0.316328181, Accelerometer (raw), z,-0.918930054
170944, Attitude, Roll,0.062715901, Accelerometer (raw), x,0.066009521
170944, Attitude, Yaw,2.5758916, Accelerometer (raw), y,-0.306289673
170944, Attitude, Pitch,0.313793474, Accelerometer (raw), z,-0.936386108
170944, Attitude, Roll,0.062458322, Accelerometer (raw), x,0.068359375
170944, Attitude, Yaw,2.575366733, Accelerometer (raw), y,-0.301864624
170944, Attitude, Pitch,0.312097758, Accelerometer (raw), z,-0.94758606
170944, Attitude, Roll,0.062302506, Accelerometer (raw), x,0.060317993
170944, Attitude, Yaw,2.576966182, Accelerometer (raw), y,-0.308288574
170944, Attitude, Pitch,0.311078818, Accelerometer (raw), z,-0.93409729
170944, Attitude, Roll,0.060384167, Accelerometer (raw), x,0.059875488
170944, Attitude, Yaw,2.578719275, Accelerometer (raw), y,-0.290039063
170944, Attitude, Pitch,0.313017467, Accelerometer (raw), z,-0.955047607
170944, Attitude, Roll,0.059625898, Accelerometer (raw), x,0.049484253
170944, Attitude, Yaw,2.582068653, Accelerometer (raw), y,-0.298995972
170944, Attitude, Pitch,0.314955063, Accelerometer (raw), z,-0.930633545
170944, Attitude, Roll,0.057971947, Accelerometer (raw), x,0.047424316
170944, Attitude, Yaw,2.588221596, Accelerometer (raw), y,-0.305923462
