163720, Attitude, Roll,0.075464758, Accelerometer (raw), x,0.08644104
163720, Attitude, Yaw,2.867882053, Accelerometer (raw), y,-0.182235718
163720, Attitude, Pitch,0.166939762, Accelerometer (raw), z,-1.003601074
163720, Attitude, Roll,0.072619962, Accelerometer (raw), x,0.065933228
163720, Attitude, Yaw,2.868030899, Accelerometer (raw), y,-0.185058594
163720, Attitude, Pitch,0.172298307, Accelerometer (raw), z,-0.980148315
163720, Attitude, Roll,0.063294126, Accelerometer (raw), x,0.064346313
163720, Attitude, Yaw,2.864113334, Accelerometer (raw), y,-0.167816162
163720, Attitude, Pitch,0.17421426, Accelerometer (raw), z,-0.966690063
163720, Attitude, Roll,0.062065669, Accelerometer (raw), x,0.080047607
163720, Attitude, Yaw,2.857183939, Accelerometer (raw), y,-0.163223267
163720, Attitude, Pitch,0.171741739, Accelerometer (raw), z,-0.966140747
163720, Attitude, Roll,0.066851781, Accelerometer (raw), x,0.070465088
163720, Attitude, Yaw,2.855056347, Accelerometer (raw), y,-0.149108887
163720, Attitude, Pitch,0.162906875, Accelerometer (raw), z,-0.992904663
163720, Attitude, Roll,0.064829285, Accelerometer (raw), x,0.045547485
163720, Attitude, Yaw,2.857958252, Accelerometer (raw), y,-0.162765503
163720, Attitude, Pitch,0.1615471, Accelerometer (raw), z,-0.980895996
163720, Attitude, Roll,0.062200691, Accelerometer (raw), x,0.052322388
163720, Attitude, Yaw,2.859662954, Accelerometer (raw), y,-0.172027588
163720, Attitude, Pitch,0.167291847, Accelerometer (raw), z,-0.92276001
163720, Attitude, Roll,0.060495064, Accelerometer (raw), x,0.045578003
163720, Attitude, Yaw,2.858616799, Accelerometer (raw), y,-0.16418457
163720, Attitude, Pitch,0.168762143, Accelerometer (raw), z,-0.952056885
163720, Attitude, Roll,0.061609433, Accelerometer (raw), x,0.051132202
163720, Attitude, Yaw,2.856294632, Accelerometer (raw), y,-0.158950806
163720, Attitude, Pitch,0.169676135, Accelerometer (raw), z,-0.983566284
163721, Attitude, Roll,0.066261894, Accelerometer (raw), x,0.069656372
163721, Attitude, Yaw,2.857718045, Accelerometer (raw), y,-0.126922607
163721, Attitude, Pitch,0.145146737, Accelerometer (raw), z,-0.981414795
163721, Attitude, Roll,0.061529462, Accelerometer (raw), x,0.05065918
163721, Attitude, Yaw,2.856637456, Accelerometer (raw), y,-0.142425537
163721, Attitude, Pitch,0.140205493, Accelerometer (raw), z,-1.00088501
163721, Attitude, Roll,0.065646671, Accelerometer (raw), x,0.060623169
163721, Attitude, Yaw,2.854352622, Accelerometer (raw), y,-0.145095825
163721, Attitude, Pitch,0.143340718, Accelerometer (raw), z,-0.975769043
163721, Attitude, Roll,0.066453472, Accelerometer (raw), x,0.064086914
163721, Attitude, Yaw,2.851794349, Accelerometer (raw), y,-0.140823364
163721, Attitude, Pitch,0.145359603, Accelerometer (raw), z,-0.976654053
163721, Attitude, Roll,0.065553341, Accelerometer (raw), x,0.067642212
163721, Attitude, Yaw,2.850153651, Accelerometer (raw), y,-0.163360596
163721, Attitude, Pitch,0.149311107, Accelerometer (raw), z,-0.969940186
163721, Attitude, Roll,0.065119387, Accelerometer (raw), x,0.08493042
163721, Attitude, Yaw,2.848610375, Accelerometer (raw), y,-0.14855957
163721, Attitude, Pitch,0.154550108, Accelerometer (raw), z,-0.96786499
163721, Attitude, Roll,0.069926667, Accelerometer (raw), x,0.085220337
163721, Attitude, Yaw,2.847599041, Accelerometer (raw), y,-0.145080566
