171645, Attitude, Roll,0.048592, Accelerometer (raw), x,0.042190552
171645, Attitude, Yaw,-2.293584012, Accelerometer (raw), y,-0.30128479
171645, Attitude, Pitch,0.302230503, Accelerometer (raw), z,-0.976974487
171645, Attitude, Roll,0.051939908, Accelerometer (raw), x,0.049667358
171645, Attitude, Yaw,-2.295154024, Accelerometer (raw), y,-0.288330078
171645, Attitude, Pitch,0.284160872, Accelerometer (raw), z,-0.918319702
171645, Attitude, Roll,0.05011071, Accelerometer (raw), x,0.060043335
171645, Attitude, Yaw,-2.294128543, Accelerometer (raw), y,-0.265426636
171645, Attitude, Pitch,0.275299279, Accelerometer (raw), z,-0.941726685
171645, Attitude, Roll,0.051028715, Accelerometer (raw), x,0.061553955
171645, Attitude, Yaw,-2.292172063, Accelerometer (raw), y,-0.278091431
171645, Attitude, Pitch,0.266024758, Accelerometer (raw), z,-0.944015503
171645, Attitude, Roll,0.052303582, Accelerometer (raw), x,0.057937622
171645, Attitude, Yaw,-2.290558168, Accelerometer (raw), y,-0.26322937
171645, Attitude, Pitch,0.258003252, Accelerometer (raw), z,-0.977905273
171645, Attitude, Roll,0.053007701, Accelerometer (raw), x,0.04876709
171645, Attitude, Yaw,-2.284600019, Accelerometer (raw), y,-0.248657227
171645, Attitude, Pitch,0.255917837, Accelerometer (raw), z,-0.969833374
171645, Attitude, Roll,0.050269175, Accelerometer (raw), x,0.039138794
171645, Attitude, Yaw,-2.279498517, Accelerometer (raw), y,-0.253311157
171645, Attitude, Pitch,0.259002774, Accelerometer (raw), z,-0.934860229
171645, Attitude, Roll,0.047320113, Accelerometer (raw), x,0.047866821
171645, Attitude, Yaw,-2.277977345, Accelerometer (raw), y,-0.246917725
171645, Attitude, Pitch,0.258563199, Accelerometer (raw), z,-0.951599121
171646, Attitude, Roll,0.045288242, Accelerometer (raw), x,0.043655396
171646, Attitude, Yaw,-2.278571207, Accelerometer (raw), y,-0.246231079
171646, Attitude, Pitch,0.258138268, Accelerometer (raw), z,-0.961761475
171646, Attitude, Roll,0.041169206, Accelerometer (raw), x,0.037368774
171646, Attitude, Yaw,-2.275214848, Accelerometer (raw), y,-0.256362915
171646, Attitude, Pitch,0.256275487, Accelerometer (raw), z,-0.942459106
171646, Attitude, Roll,0.039355909, Accelerometer (raw), x,0.037399292
171646, Attitude, Yaw,-2.276647451, Accelerometer (raw), y,-0.251541138
171646, Attitude, Pitch,0.255357884, Accelerometer (raw), z,-0.95463562
171646, Attitude, Roll,0.039337006, Accelerometer (raw), x,0.03767395
171646, Attitude, Yaw,-2.279209682, Accelerometer (raw), y,-0.246368408
171646, Attitude, Pitch,0.255293733, Accelerometer (raw), z,-0.96282959
171646, Attitude, Roll,0.038824605, Accelerometer (raw), x,0.031845093
171646, Attitude, Yaw,-2.278373843, Accelerometer (raw), y,-0.249343872
171646, Attitude, Pitch,0.256767286, Accelerometer (raw), z,-0.969070435
171646, Attitude, Roll,0.038613455, Accelerometer (raw), x,0.030044556
171646, Attitude, Yaw,-2.280550336, Accelerometer (raw), y,-0.261199951
171646, Attitude, Pitch,0.259621582, Accelerometer (raw), z,-0.955825806
171646, Attitude, Roll,0.037691659, Accelerometer (raw), x,0.038543701
171646, Attitude, Yaw,-2.283004243, Accelerometer (raw), y,-0.250793457
171646, Attitude, Pitch,0.258147484, Accelerometer (raw), z,-0.958251953
171646, Attitude, Roll,0.037316472, Accelerometer (raw), x,0.046157837
171646, Attitude, Yaw,-2.28455867, Accelerometer (raw), y,-0.253982544
171646, Attitude, Pitch,0.259334478, Accelerometer (raw), z,-0.963119507
171646, Attitude, Roll,0.03672512, Accelerometer (raw), x,0.036346436
171646, Attitude, Yaw,-2.283946432, Accelerometer (raw), y,-0.243469238
171646, Attitude, Pitch,0.260447845, Accelerometer (raw), z,-0.95161438
171646, Attitude, Roll,0.035592944, Accelerometer (raw), x,0.040390015
171646, Attitude, Yaw,-2.282559958, Accelerometer (raw), y,-0.249053955
171646, Attitude, Pitch,0.257822112, Accelerometer (raw), z,-0.965774536
171647, Attitude, Roll,0.029266742, Accelerometer (raw), x,0.024429321
171647, Attitude, Yaw,-2.28022652, Accelerometer (raw), y,-0.251022339
171647, Attitude, Pitch,0.256832856, Accelerometer (raw), z,-0.958816528
171647, Attitude, Roll,0.027155353, Accelerometer (raw), x,0.020553589
171647, Attitude, Yaw,-2.280217263, Accelerometer (raw), y,-0.251083374
171647, Attitude, Pitch,0.257802287, Accelerometer (raw), z,-0.966094971
171647, Attitude, Roll,0.025552102, Accelerometer (raw), x,0.031997681
171647, Attitude, Yaw,-2.278504438, Accelerometer (raw), y,-0.258010864
171647, Attitude, Pitch,0.259056533, Accelerometer (raw), z,-0.948776245
171647, Attitude, Roll,0.024382273, Accelerometer (raw), x,0.02772522
171647, Attitude, Yaw,-2.278121798, Accelerometer (raw), y,-0.256469727
171647, Attitude, Pitch,0.257125691, Accelerometer (raw), z,-0.96232605
171647, Attitude, Roll,0.023944863, Accelerometer (raw), x,0.025482178
171647, Attitude, Yaw,-2.274202654, Accelerometer (raw), y,-0.251983643
171647, Attitude, Pitch,0.259428742, Accelerometer (raw), z,-0.961624146
171647, Attitude, Roll,0.022761209, Accelerometer (raw), x,0.019607544
171647, Attitude, Yaw,-2.27307443, Accelerometer (raw), y,-0.258285522
171647, Attitude, Pitch,0.262175445, Accelerometer (raw), z,-0.946609497
171647, Attitude, Roll,0.02277763, Accelerometer (raw), x,0.025436401
171647, Attitude, Yaw,-2.274852024, Accelerometer (raw), y,-0.252151489
171647, Attitude, Pitch,0.263396836, Accelerometer (raw), z,-0.949295044
171647, Attitude, Roll,0.021965744, Accelerometer (raw), x,0.026626587
171647, Attitude, Yaw,-2.273191883, Accelerometer (raw), y,-0.25428772
171647, Attitude, Pitch,0.261649745, Accelerometer (raw), z,-0.960510254
171647, Attitude, Roll,0.021461821, Accelerometer (raw), x,0.017471313
171647, Attitude, Yaw,-2.271337328, Accelerometer (raw), y,-0.259017944
171647, Attitude, Pitch,0.261608353, Accelerometer (raw), z,-0.952148438
171648, Attitude, Roll,0.020009438, Accelerometer (raw), x,0.016983032
171648, Attitude, Yaw,-2.269374395, Accelerometer (raw), y,-0.252822876
171648, Attitude, Pitch,0.262050642, Accelerometer (raw), z,-0.958786011
