165750, Attitude, Roll,0.059820359, Accelerometer (raw), x,0.062896729
165750, Attitude, Yaw,-2.040995185, Accelerometer (raw), y,-0.196334839
165750, Attitude, Pitch,0.207649101, Accelerometer (raw), z,-0.977386475
165750, Attitude, Roll,0.055948342, Accelerometer (raw), x,0.053543091
165750, Attitude, Yaw,-2.043863271, Accelerometer (raw), y,-0.212295532
165750, Attitude, Pitch,0.201465286, Accelerometer (raw), z,-0.955383301
165750, Attitude, Roll,0.055868798, Accelerometer (raw), x,0.057266235
165750, Attitude, Yaw,-2.047381001, Accelerometer (raw), y,-0.202026367
165750, Attitude, Pitch,0.199772975, Accelerometer (raw), z,-0.977493286
165750, Attitude, Roll,0.059253102, Accelerometer (raw), x,0.064544678
165750, Attitude, Yaw,-2.049148399, Accelerometer (raw), y,-0.20375061
165750, Attitude, Pitch,0.197625073, Accelerometer (raw), z,-0.976501465
165750, Attitude, Roll,0.063237596, Accelerometer (raw), x,0.063018799
165750, Attitude, Yaw,-2.047403846, Accelerometer (raw), y,-0.189483643
165750, Attitude, Pitch,0.197437228, Accelerometer (raw), z,-0.967071533
165750, Attitude, Roll,0.061723055, Accelerometer (raw), x,0.056213379
165750, Attitude, Yaw,-2.047757403, Accelerometer (raw), y,-0.19190979
165750, Attitude, Pitch,0.199072712, Accelerometer (raw), z,-0.965316772
165751, Attitude, Roll,0.061481994, Accelerometer (raw), x,0.058670044
165751, Attitude, Yaw,-2.049132966, Accelerometer (raw), y,-0.187179565
165751, Attitude, Pitch,0.197795789, Accelerometer (raw), z,-0.966690063
165751, Attitude, Roll,0.062586095, Accelerometer (raw), x,0.066421509
165751, Attitude, Yaw,-2.050698862, Accelerometer (raw), y,-0.193130493
165751, Attitude, Pitch,0.196972774, Accelerometer (raw), z,-0.972106934
165751, Attitude, Roll,0.061514677, Accelerometer (raw), x,0.060455322
165751, Attitude, Yaw,-2.050107381, Accelerometer (raw), y,-0.193664551
165751, Attitude, Pitch,0.197232278, Accelerometer (raw), z,-0.986312866
165751, Attitude, Roll,0.059537588, Accelerometer (raw), x,0.056289673
165751, Attitude, Yaw,-2.043961106, Accelerometer (raw), y,-0.201980591
165751, Attitude, Pitch,0.200470982, Accelerometer (raw), z,-0.967941284
165751, Attitude, Roll,0.056820887, Accelerometer (raw), x,0.048919678
165751, Attitude, Yaw,-2.042172025, Accelerometer (raw), y,-0.193954468
165751, Attitude, Pitch,0.200688119, Accelerometer (raw), z,-0.957580566
165751, Attitude, Roll,0.054192394, Accelerometer (raw), x,0.056610107
165751, Attitude, Yaw,-2.040386879, Accelerometer (raw), y,-0.189300537
165751, Attitude, Pitch,0.198305782, Accelerometer (raw), z,-0.958328247
165751, Attitude, Roll,0.053966495, Accelerometer (raw), x,0.062789917
165751, Attitude, Yaw,-2.036864546, Accelerometer (raw), y,-0.190643311
165751, Attitude, Pitch,0.196365941, Accelerometer (raw), z,-0.983947754
165751, Attitude, Roll,0.05152334, Accelerometer (raw), x,0.049377441
165751, Attitude, Yaw,-2.032498655, Accelerometer (raw), y,-0.209274292
165751, Attitude, Pitch,0.197599683, Accelerometer (raw), z,-0.968658447
