170155, Attitude, Roll,0.059716004, Accelerometer (raw), x,0.035217285
170155, Attitude, Yaw,-3.061601073, Accelerometer (raw), y,-0.318328857
170155, Attitude, Pitch,0.314868511, Accelerometer (raw), z,-0.968994141
170155, Attitude, Roll,0.053436204, Accelerometer (raw), x,0.068466187
170155, Attitude, Yaw,-3.058818689, Accelerometer (raw), y,-0.282745361
170155, Attitude, Pitch,0.308448099, Accelerometer (raw), z,-0.976013184
170155, Attitude, Roll,0.048678286, Accelerometer (raw), x,0.061981201
170155, Attitude, Yaw,-3.056972088, Accelerometer (raw), y,-0.269180298
170155, Attitude, Pitch,0.308743715, Accelerometer (raw), z,-0.898452759
170155, Attitude, Roll,0.039970129, Accelerometer (raw), x,0.040206909
170155, Attitude, Yaw,-3.056447574, Accelerometer (raw), y,-0.321395874
170155, Attitude, Pitch,0.310981093, Accelerometer (raw), z,-0.920043945
170155, Attitude, Roll,0.029135993, Accelerometer (raw), x,0.07270813
170155, Attitude, Yaw,-3.062019151, Accelerometer (raw), y,-0.291061401
170155, Attitude, Pitch,0.30637254, Accelerometer (raw), z,-0.978393555
170155, Attitude, Roll,0.034583199, Accelerometer (raw), x,0.085891724
170155, Attitude, Yaw,-3.06724473, Accelerometer (raw), y,-0.285919189
170155, Attitude, Pitch,0.295500583, Accelerometer (raw), z,-0.922073364
170156, Attitude, Roll,0.03857015, Accelerometer (raw), x,0.073852539
170156, Attitude, Yaw,-3.0630407, Accelerometer (raw), y,-0.294586182
170156, Attitude, Pitch,0.295321951, Accelerometer (raw), z,-0.943344116
170156, Attitude, Roll,0.044276854, Accelerometer (raw), x,0.068756104
170156, Attitude, Yaw,-3.057201683, Accelerometer (raw), y,-0.325210571
170156, Attitude, Pitch,0.294991229, Accelerometer (raw), z,-0.951187134
170156, Attitude, Roll,0.047901995, Accelerometer (raw), x,0.0728302
170156, Attitude, Yaw,-3.05195461, Accelerometer (raw), y,-0.329116821
170156, Attitude, Pitch,0.286053765, Accelerometer (raw), z,-0.917602539
170156, Attitude, Roll,0.058974131, Accelerometer (raw), x,0.079437256
170156, Attitude, Yaw,-3.050308424, Accelerometer (raw), y,-0.349334717
170156, Attitude, Pitch,0.293002635, Accelerometer (raw), z,-0.894302368
170156, Attitude, Roll,0.062511814, Accelerometer (raw), x,0.063919067
170156, Attitude, Yaw,-3.043351533, Accelerometer (raw), y,-0.372421265
170156, Attitude, Pitch,0.302626134, Accelerometer (raw), z,-0.870254517
170156, Attitude, Roll,0.062680123, Accelerometer (raw), x,0.096466064
170156, Attitude, Yaw,-3.039338114, Accelerometer (raw), y,-0.395507813
170156, Attitude, Pitch,0.317331866, Accelerometer (raw), z,-0.850372314
170156, Attitude, Roll,0.06646316, Accelerometer (raw), x,0.108840942
170156, Attitude, Yaw,-3.04862837, Accelerometer (raw), y,-0.412109375
170156, Attitude, Pitch,0.326158171, Accelerometer (raw), z,-0.978286743
170156, Attitude, Roll,0.061040241, Accelerometer (raw), x,0.035583496
170156, Attitude, Yaw,-3.059586289, Accelerometer (raw), y,-0.385696411
170156, Attitude, Pitch,0.311535425, Accelerometer (raw), z,-1.116363525
170156, Attitude, Roll,0.038916977, Accelerometer (raw), x,-0.107681274
170156, Attitude, Yaw,-3.064076002, Accelerometer (raw), y,-0.234359741
170156, Attitude, Pitch,0.296141998, Accelerometer (raw), z,-0.982818604
170156, Attitude, Roll,0.024078822, Accelerometer (raw), x,-0.120681763
170156, Attitude, Yaw,-3.074797755, Accelerometer (raw), y,-0.081604004
170156, Attitude, Pitch,0.319570689, Accelerometer (raw), z,-0.982437134
170157, Attitude, Roll,0.006028464, Accelerometer (raw), x,-0.063476563
170157, Attitude, Yaw,3.116631698, Accelerometer (raw), y,-0.185806274
170157, Attitude, Pitch,0.369761332, Accelerometer (raw), z,-0.845031738
170157, Attitude, Roll,0.011892773, Accelerometer (raw), x,-0.02394104
170157, Attitude, Yaw,3.06786454, Accelerometer (raw), y,-0.149856567
170157, Attitude, Pitch,0.310331151, Accelerometer (raw), z,-0.930007935
170157, Attitude, Roll,0.005526252, Accelerometer (raw), x,-0.000946045
170157, Attitude, Yaw,3.055034513, Accelerometer (raw), y,-0.275024414
170157, Attitude, Pitch,0.282199925, Accelerometer (raw), z,-0.970336914
170157, Attitude, Roll,0.01576426, Accelerometer (raw), x,0.010009766
170157, Attitude, Yaw,3.05510995, Accelerometer (raw), y,-0.357025146
170157, Attitude, Pitch,0.282168647, Accelerometer (raw), z,-0.918273926
170157, Attitude, Roll,0.03440507, Accelerometer (raw), x,0.027664185
170157, Attitude, Yaw,3.065737458, Accelerometer (raw), y,-0.411529541
170157, Attitude, Pitch,0.301153818, Accelerometer (raw), z,-0.937713623
170157, Attitude, Roll,0.025847051, Accelerometer (raw), x,-0.004867554
170157, Attitude, Yaw,3.090838768, Accelerometer (raw), y,-0.364227295
170157, Attitude, Pitch,0.337919585, Accelerometer (raw), z,-0.999740601
170157, Attitude, Roll,0.018460209, Accelerometer (raw), x,-0.069671631
170157, Attitude, Yaw,3.137354983, Accelerometer (raw), y,-0.227554321
170157, Attitude, Pitch,0.380833876, Accelerometer (raw), z,-1.362716675
170157, Attitude, Roll,-0.007406847, Accelerometer (raw), x,0.036560059
170157, Attitude, Yaw,-3.135123187, Accelerometer (raw), y,-0.093048096
170157, Attitude, Pitch,0.365839026, Accelerometer (raw), z,-0.992843628
170157, Attitude, Roll,-0.006359138, Accelerometer (raw), x,-0.016204834
170157, Attitude, Yaw,-3.109330661, Accelerometer (raw), y,-0.097732544
170157, Attitude, Pitch,0.405262525, Accelerometer (raw), z,-0.884750366
170157, Attitude, Roll,0.017066585, Accelerometer (raw), x,0.013076782
170157, Attitude, Yaw,-3.095112208, Accelerometer (raw), y,-0.212081909
170157, Attitude, Pitch,0.428403422, Accelerometer (raw), z,-0.849441528
170158, Attitude, Roll,0.029854237, Accelerometer (raw), x,0.029876709
170158, Attitude, Yaw,-3.083793707, Accelerometer (raw), y,-0.315490723
170158, Attitude, Pitch,0.440441981, Accelerometer (raw), z,-0.809265137
170158, Attitude, Roll,0.034283933, Accelerometer (raw), x,0.075408936
170158, Attitude, Yaw,-3.104935242, Accelerometer (raw), y,-0.350845337
170158, Attitude, Pitch,0.406827316, Accelerometer (raw), z,-0.861541748
170158, Attitude, Roll,0.026561135, Accelerometer (raw), x,0.066131592
170158, Attitude, Yaw,-3.125846083, Accelerometer (raw), y,-0.417739868
170158, Attitude, Pitch,0.383315524, Accelerometer (raw), z,-0.940856934
170158, Attitude, Roll,0.016522158, Accelerometer (raw), x,0.078674316
